,Pre_Sample_01,Pre_Sample_02,Pre_Sample_03,Pre_Sample_04,Pre_Sample_05,Pre_Sample_06,Post_Sample_01,Post_Sample_02,Post_Sample_03,Post_Sample_04,Post_Sample_05,Post_Sample_06
ESR1,7235.975948342897,254.15584679549752,4654.029849698695,113.47921192503726,1188050.5245176828,759733.416387361,81806.66971217416,1517.1399810366233,9761.791580154566,5249.302176842893,191.1202276350607,48.567546645872824
PGR,995.1984374390356,60700.384718437366,50.89980805421809,412.44668661932184,668.3616924377121,6424.167280040758,122.84367946545987,568.1308244331805,132.06758870084735,4936.160683301067,2831.8985806646633,1652.9409810833206
GATA3,478.5100450085068,5370.5598831003335,530.1694516456322,1377.8873906759604,30637.093861433666,1283.611202276786,83504.2911818767,596.0667820793311,790.3807593486291,49.5203128798742,746.9420831091011,1642.2614039203474
FOXA1,6040.449429706037,26959.67747365109,77.32155716049971,9364.552218085324,13343.318782607523,4353.041582691231,666.1692625302225,270.8904745548568,418.61070492355634,6077.792675330082,582.1244505271161,4246.084017581823
XBP1,569.397289394073,3537.5720953151044,454.0463948935185,205.73158794156708,285.2650498057925,255.34889126761286,87.31543349368864,3491.056582357752,237.10658881467455,28.470622477954077,1897.9117412317169,1363.582803733432
TFF1,61.10391898751367,663.9224231809885,1034.6877022977962,1393.137879983466,103.3533489212871,71.5832797247557,9179.29931639649,2.265052669915704,25.281769791991263,1745.261800848682,244.3310072826564,1756.3133061403296
PDZK1,1127.7279991227565,16570.95008308496,1743.3035713358806,117.06214270987115,914.2428207776189,688.1320047841582,2.1164313235616894,4588.984072581581,1448.3220705063165,8932.337432701637,150.51999280462144,54514.41309411901
ERBB2,9710.184103162574,16778.961332097366,754.2048802484054,165.2469072577966,439.56291060972643,248.44539401532566,1897.3892519410367,764.2113338745735,505.57383239329636,2320.673497053676,237.72203328856693,7953.097354470976
EGFR,1068.403588847743,221.78147520217357,726.3688012514343,1509.2821417841371,2745.6980905869987,1711.873603163906,43.7923550706879,43397.03273554908,2348.477173941609,13634.903772144491,277.6759429712008,717.771539647066
GRB7,76.43664083044911,1043.0848784322366,21596.765303591837,23.82426622487032,1115.725883060238,2288.410584443966,976.7442724057506,1319.3491282199138,193.2770918198542,1782.6234403751378,658.0995012035984,4.696869749898759
MKI67,8526.398712409977,10787.165119017958,2036.135454296015,1802.9772504033135,1011.9115319479355,197.8238263860734,1370.3365239841746,546.8356482938623,161.47954665785994,1992.1383404933108,16.908719644710768,342.4348259739923
PCNA,533.0624508648782,129.08083096591855,2067.8719074802,143.94679113720787,544.5803656649898,849.8200284099748,1579.0161217668706,1177.0865986871286,394.22406443623606,3558.979732597325,948.6593703232853,309.20726255365184
TOP2A,4160.192018878121,33020.39482065475,1817.6905680066563,16432.355387320513,221.07724354882734,70557.55284134722,4236.600843285131,238.86098948653643,1914.0924809528112,87.75978235340028,2339.1512752294293,7335.842989606434
CCND1,6308.6770894130705,1306.8892754952246,2079.6459789450464,3434.0654020039774,11526.167739329208,6583.026326022657,774.1666692360061,297.6515391350531,1991.5121811968463,2218.185603064478,1359.2843231719892,648.4333210899869
MYC,277.30228130104183,879.7055125156966,17160.471603131777,11683.38115873665,15973.846848433242,1116.822331585475,104.5573293616808,412.03052570492525,13813.7993236678,107.7024757475525,741.2352241422442,3677.7813613850903
CCNE1,134.88823022572998,5307.462568044159,17932.678845255985,164.9295873440981,1082.861662161763,1096.7250772738573,334.0841951685199,607.2568680836004,316.11226120215713,4853.94522788852,238.3791956993417,47.82022440711802
CDK4,1371.6755030637667,648.1972102133786,88.63049402204562,531.5884401352439,12425.935839845262,193.6998829447485,111.63274774630668,482.89727371132824,2913.7299170270076,25777.30162104527,623.0689414177805,1519.9147161448302
CDK6,350.4502971493614,407.90186307047975,6382.741351544652,11.189144119028823,673.0724353936151,4666.488751589136,26.547808385189914,208.34502016637308,468.8072417113413,731.2416933501192,542.0330138036945,204.48486363915524
BRCA2,4147.063990246842,914.081232007393,66.9943915633502,135.61300574142663,211.6704814698008,92.0550670249555,184.47666881089646,20.358794844807452,69.8110051467315,185.53662612450572,77.36804194153135,23.425718759538853
BRCA1,7.555802542290329,969.2101640322705,1205.406641387563,321.622659951647,16753.8688375343,854.2418999737099,214.1851712367075,705.1196937000648,117.12627918875133,722.251049907614,27.26820546707729,1094.5972399513726
TP53,5.390120234873607,628.3622925080618,20.050894048695675,1233.5274280853823,1312.368584778755,70.55973378649489,21.638919431140277,33.51742672918616,9.926777175170251,1598.6942976356954,21.84232706880117,1242.6082810805594
RB1,202.50803048579374,1405.137471015857,34.72174592528873,1784.9987569617545,274.66158417204366,616.319480097926,339.7263089172486,33.98441014951906,38.181533297916886,17771.408526075298,505.0970546632224,1768.1550766821158
PTEN,54.450485154829416,1540.8722496257164,1752.3959806422924,110.01169625080723,117.15499029177485,387.4809778210587,113.65497055663307,300.1029084670391,129.090000815815,1280.3064793305357,1084.5568857966734,154.70416084033846
MAP3K1,290.8754913390978,509.6068055521001,808.4435010504417,3613.2121526042783,2305.815520747323,78.46849836766616,4638.2637139275375,332.93926498745907,323.0112135915998,85.73997083561406,810.7736525821916,264.38575881612417
CDH1,12175.914953077821,259.0436806086427,183.14137030073397,7981.912207032222,24268.927959008382,413.72070339866633,491.04500462077254,257.4570744027691,541.7527751019188,652.5787393036303,609.5920559257262,26.26790418194164
PIK3CA,470139.77167854935,4160.354088457677,139.44810641030136,4043.8016587761977,5252.566923769621,5211.782621328795,3244.2317797150317,1438.0238147779637,6235.172565479845,915.5166179788498,2044.8300044006608,5756.360073997268
AKT1,2557.4008266339883,508.75061166005327,229.42710818784295,5594.216411210383,20895.373731438554,167.39108660579643,2682.1777903110587,50.668665258997876,8279.072366632858,429.66348664429023,17762.440215000475,143.39295663027306
AKT2,43.95016997511429,557.3296558112536,153.92085868758252,15946.435433713927,72.76268600834662,14897.66748237083,256.87167749736375,177.79266024427227,152.0120924733859,66.63486284663459,3028.5240155219662,303.4567428389247
MTOR,19945.420609260735,3082.167688033364,10871.617601039192,7111.256801105891,1093.8996282842377,8384.354317791745,8625.446896733778,100119.42229096928,682.6073913372882,378.4355439519885,209.13986795195922,464.0274682307918
PTEN,2904.7222426808985,5792.176735483637,723.4729083897846,1951.3487210157316,85.2817717874272,35721.44251509671,482.5385920209543,5.060242788454781,85.7765945355734,2868.0724510216032,1062.992518143685,7929.609453393533
PIK3R1,6017.064931806283,1832.2114739576127,56.47048843525168,119.35711713502589,3400.922815719567,3215.9994861846244,729.2838378805634,83.85449524542953,1835.9260317849298,198.0184435492498,6452.75356075429,1244.0016273331696
KRT8,99.2551983897592,223.46405513341952,651.5165053773571,38162.087735562134,9218.430136000856,2530.4938760997643,18.631216416153137,803.006273560172,911.0653351876256,953.0544539519198,317.64237128386765,40.62560436508875
KRT18,832.7810068902179,399.77001232290553,277.12826320573663,777.6097001992351,2013.556436513645,2297.4105288963783,4745.26963192321,42.87355174128461,442.35348302533055,1106.7767687731466,6389.204978861434,1628.8266639732983
KRT19,2947.5669274357865,354.31244242930865,140.77651274256272,17.561924982105307,933.4891081953596,225.04555021882354,592.8714265309295,580.4696168596668,2380.583227698299,62.278973990865644,347.9916597757413,142.95803555010013
EPCAM,166.06279163424583,264.28854840110534,504.7516886122976,3305.315194306478,103.03861768465988,760.54799685342,974.6241882395811,58.40636286477838,126.62567946628363,73.81904103040748,5407.169770335083,646.2751494656176
MUC1,18.898013625596345,1999.7086597691118,51.45273310510853,448.1479092784481,598.45267957929,1151.8845984030575,1221.7132525157808,207.93597782758962,268.63548774959696,29.59701700101061,567.0901971287245,475.7009228398879
KRT5,342.0447522315962,3461.428976600619,2003.6330311243858,1.3481424893871539,1128.1338005855355,2.08675018496003,7.2330086173111745,296.4526010597053,339.10334642823045,45.19895107298316,140.67078841937456,997.6219600828297
KRT14,74.78775406832207,36.6967108263202,426.982058033378,47.558082414083295,4.596687440888749,4.71165605896015,60.353232518067934,642.0334541896542,85.39866064575439,102.42860199591638,595.6522120415121,12.955262366283023
KRT17,86.37244566766175,2473.3117560233663,28.302989910411604,335.5586832000295,84.0782791544388,421.3222240841283,299.79599806627755,1117.4198206463307,250.27662592621303,42.53708433604206,493.24667582184816,41.17254756847089
EGFR,53.09694090600894,3637.7559916575824,229.530140457985,10704.103709395555,1049.1910553906205,595.6112121599581,269.4291917678734,83.05799604719495,21.50237373110871,52.441101490006126,79.46295062705728,219.4966266354122
COL1A1,230.96867365213424,192.97106748282295,139.02032778152076,1448.2679644532143,852.6814227567274,48.10359155253937,2089.4230491931617,351.7946426545335,2043.858509833429,5053.074027930702,5430.207570971705,1158.425550709537
COL3A1,13768.222906235433,164.6383803484359,46.41395288407399,446.7917897582038,1797.6554376779193,1454.1292525945335,242.17338337229336,94.97872533687006,234.45414051340842,6536.051486193538,11743.722429013667,2258.8030782153846
ACTA2,1096.994222763664,1028.4926282262825,44.96084343305145,26.306054344082387,883.8045850084536,2088.6092780487857,43.80920821913666,360.238012714896,8417.002443743715,7246.718392958729,211.70143578952633,33.70896246593555
FAP,427.15284270061045,436.9743726523421,134.92139530236673,993.2270356714174,7511.047722957916,1508.2041741977187,7215.951510639633,7078.2317140867335,142.24189363304095,7176.564637521476,140.0491271740244,141842.8358960034
VIM,2173.6896181264306,1128.889765847412,42.18450432359853,8111.590082086682,1444.4896201676456,1572.001213263474,112.23328772605856,2880.414806571702,8.214047289484492,517.7852718252691,789.8854851498608,1033.8128990822763
FN1,244.47715616020096,90.03386890327228,1634.60428253124,366.202955881421,20.16603790642368,972.5362762251347,907.4834476028865,0.7392750235413754,809.3155845078787,3484.503031116715,37.82231943067045,4243.541133272591
PDGFRA,2674.4738249152674,174.6488578256622,1757.8097668898304,157.56343811560285,1745.8919607347173,1401.6601942172108,91.14104572485779,233838.1762845096,882.2959473052966,640.8107427460955,648.5502893025807,703.272789059255
CD3D,209.5505587236716,217.2123233274888,1961.428874260802,102.04967074945174,25.936524095255614,1214.918605857895,56.811318787316836,2067.16543941137,14044.983945273052,24.409226961690045,10.280003327482152,7013.8926541365245
CD3E,2159.4771080517426,508.05593833987643,30.9776160287212,135.82161199299415,183.92123148794468,116.29273739979466,558.7961233128169,1067.7259278903382,1421.0717181994864,66.21507758776025,692.7359313501299,113.83690297998875
CD8A,140.3413551240686,501.95213140537135,160.93668437595963,71.48005423341725,186.73866078365933,4401.042057637501,346.78804992340844,144.65365268479616,1693.109383207165,1819.8838685981316,3.7618643266113025,4766.804376099011
CD8B,41.71436971161697,537.2344385821648,1040.6893087981562,450.1251633432936,1153.2662053431716,1449.5773623799432,825.0409956724536,38196.82199397161,173.5242149674021,104.23384000482237,622.9607837866886,430.7809114925144
CD4,205.41642408770358,3749.346697866863,25.746130869748523,1987.7360094454202,1236.878373982992,537.7754717387419,6.377109619416328,2617.7408062322697,450.4303099596534,704.1014075524648,41.05071514836999,427.0425565683817
FOXP3,5535.593983248584,2191.900711603056,2790.000079557549,4678.793716566189,53.55987036845011,1311.8932520171104,630.5081827785524,204.53964734878215,81.42081114953999,615.2798408572827,94.52882877125967,4436.236355387023
CD68,17731.90348891192,2722.972253523911,91.83716431230866,571.871714550768,2925.55300907264,378.67542822388083,46.554673432000826,16883.41294453164,47.190093386918576,1476.5567449080943,601.2661795735921,144.3156584804259
CD163,857.6628755612309,61.73085919155509,8411.574349569468,1372.4105760849925,189.18503366730118,43557.570821684465,309.3011125210728,1000.9062287663121,7536.563398477123,336.6824889463951,5.965970880855048,486.24922678475855
PTPRC,5682.53133861851,72.84847195536872,502.29340079541424,1734.2048902163008,12203.453765890888,37.83383413683881,32.33103776873518,2685.0483049310465,64.70146527117627,7115.682236538718,1020.1388995801761,52.249319467225305
PDCD1,90.75901614484883,1830.9990453654634,5.084682935380706,709.0486261275396,1093.521044551924,288.5710533606873,4240.352935719071,496.6066959853797,74.12101601762203,302.8170496728519,1090.3260063524524,108.32137813034987
CTLA4,5117.13374728092,1927.3629946739168,110.99020526910783,446.643686995306,136.30650204931231,189.73149363543783,1883.3613909864632,91.7724545275764,32.01622794042553,109.47501526996598,255.8204708460818,11033.208862263002
LAG3,2902.586584904811,277.1204294115108,429.10791629147275,1475.9412710224933,285.0517950143336,735.9422135499029,339.6170861510111,15391.51258548204,2851.277419091673,6945.7034207563265,10404.46438483968,17906.422449416732
HAVCR2,9.030483184248927,87.73501073786002,53.071189733107026,159.64093188952853,955.6563323226261,92.10170371852685,733.7705933193838,67566.87752429247,1122.7056641020733,188.52111276372108,124.15381368405906,346.48608841163286
HIF1A,2124.258065368015,1393.6532602834725,288.18569606654796,760.4304036911407,6.108819629429764,1139.9707547265405,154.07160509286766,4.565590368986896,1142.9691583283748,203.35621553320206,663.8757162202709,2803.9695046113316
VEGFA,367.826103298466,1350.1141448366075,19941.272097439316,3249.454183356758,54259.810084065255,19005.84370245065,182.6521686729305,1985.204432446532,13915.742886428614,440.59796049928696,2783.2934139936456,1555.6579365342309
CA9,747.4995673123118,3212.175923301948,616.5718541691626,53.82669637534449,543.776255372124,18.784915124538983,233.49652901133237,383.4197352348411,23.155710413934646,748.1200037724914,14929.501670898047,169.21366423921262
LDHA,1045.5105216413483,656.6327375568744,826.7646530095211,213.99968132935487,5.136771353640805,1382.677838168004,3172.992447917137,127.45453662072812,1322.6441868911713,4185.722516275378,2081.482020921276,25.757442098776355
SNAI1,624.5525884641598,4331.26065447255,2002.2228730026716,468.04573848264147,161.86940846224,547.557576472762,3113.401372884441,3628.6433247828763,3340.9221183594923,280.8378100627704,51.0323439698955,363.5920616348126
TWIST1,25066.981303748285,3915.9043415360943,2601.2225309611517,190.50424202231466,274.11081818941324,2988.576188556531,2925.692361562965,365.73394957695587,560.6741498178175,19941.92204731846,936.452086875848,52.016865515007154
CDH2,137.41238377192292,202.94558602781999,1358.6711295266628,12.386965467712272,3876.7609908939867,297.7589868301766,1492.272350241137,3258.0073287792134,564.5319561639545,6887.136442742688,1732.8690939011926,1078.0897259241783
MMP2,238.21206264789797,17702.542868159057,343.47002461248167,1290.6960074408425,816.8267133987853,1285.4399240461687,131.79673345159688,380.5590053153984,126.3710233913786,22.3745456859371,1381.1223823386526,5375.158090459928
MMP9,2097.7393614389885,222.2392828557948,5271.841063178478,2012.6155906167344,1946.7919942430267,105.58033325134815,922.9705726962699,58.64169217303857,56.03752741886354,337.7717253154284,887.704916085449,1575.4975328929584
CYP2D6,451.4301892587894,191155.6010309073,7390.618974324763,2.643695826956776,26239.203327168732,805.1025966762336,5.797723834870264,1721.8454355977588,25871.50288674524,104.97162511399635,22456.027411876687,1587.4812441057536
SULT1A1,2844.393304989331,86.99847493039427,382.50713918816865,86.71042304861153,2867.108455719165,975.9952211356875,6.6868775188366545,14.80953713838793,6491.847762644951,45.94987806796404,939.1398256801252,12195.428273328047
UGT2B15,8723.178993856907,10.428002188650002,106.74442118024723,1853.9376547200593,1199.0825330405764,1968.2517477308284,60.66979500178962,1992.9195373017265,36.8691363742059,743.497906902586,168.2748669556743,4585.265375003365
RAD51,632.4329307621149,3923.000234970602,6660.255489806692,716.0332525661458,271.49016666940497,75.57693149851185,1521.5249589289322,199.5234332579228,12071.503623665987,1579.3303534252289,8.823992507307098,225.14925361963537
BRCA2,3043.76761248226,1050.4940998460495,56.47026176634406,69.59919805020388,16.529822428855738,404.52203440221103,402.3419588303524,2893.70661749606,8069.354316697892,6779.504191732283,823.6355073102334,86.00707301597666
PALB2,40603.25597442599,498.1615405111122,1568.20497393793,814.7244607097853,3117.7019997807683,44510.450224582746,50.416686723380145,397.15416763121516,574.8376431537371,606.0705505894191,792.9096175617689,356.5993129710182
ATM,22.038759253431085,1337.1795829862676,321.64732345365144,118.82773834310728,83.62871429571594,134.21147356298061,2105.6837237255068,71.77138484661215,84.41251756460385,1044.9702594478683,1732.0460898515503,110.26412736232004
ATR,6428.56366706768,417.300541191072,3155.539988544955,276.0957758498299,52.29546015576454,4295.151787767176,65.08695065524215,4433.6907892819545,9547.072586397831,3935.1214457208266,8766.910234287785,244.44128592268746
CHEK1,10000.375542539896,658.1881880626646,584.898103409799,4372.539270588076,1501.290980351714,106.51809813987741,5085.158658409507,10458.519452611978,630.1895887339433,177.86201268611785,2499.166324182842,1021.5841330842793
CHEK2,1833.4547385745598,7.376809029557637,92.27100478603971,572.8611876437917,931.7286860766478,4981.91279766148,891.8591792269464,1427.6009756943192,408.94808999155975,278.8104158879511,81.54290369449821,48.75802970764795
CCNA2,9624.225675075584,1214.7737102013173,224.2011554759026,626.5162217447238,209.93411246192545,27448.3682922399,424.8582884413564,123.89815089974631,46.44051521821031,107.06909602835067,15.909685533271771,1782.9030106381178
CCNB1,43.46105556116368,1485.6287724305291,23925.12749833037,5225.401072812652,2029.858000563767,1056.9578289980677,690.0201848349674,82.53547024060948,40.16473399895965,1333.1683055583794,9.759606130656072,278.0221194972472
AURKA,9079.052902052212,24192.525688013404,316.7281866761383,1153.3500253179213,1666.722078635849,2077.9193111757295,2140.3407641512813,385.5926895786887,233.3543691063753,1749.4948559604543,2723.1026108919477,1144.6463004567433
AURKB,58.56725183730681,299.5288515867998,2079.0347613475446,1717.3942826393338,4200.489959930355,910.2670720364183,256.59426089302224,42.94234601700962,237.28514958756722,569.1392794702587,25.17531073154996,4083.6978224102627
PLK1,4237.3161562727055,2131.045812372242,4278.034919444897,1938.5269922874038,3383.21779577528,403.2624860657431,28845.906285177298,604.7434131366496,4371.1516800477675,21.247350263941883,544.8714166665104,4890.906227698213
BUB1,7757.734124747433,18559.054187909904,1306.5935622616028,1981.9488669256057,8835.913109209296,434.1117766010065,166.7910434707458,11.822949344922137,2631.2791416100536,411.26625548311796,1394.7348786705395,180.54373020571674
Gene_0001,2901.1832212815752,3600.164264401721,1577.1336112403949,4166.319321812203,104.56756423274541,29661.496946141164,191.1635246970907,111.78096178840586,328.9662963773798,261.1166067864008,2463.932281419922,30543.467819255366
Gene_0002,562.351447634634,212.63117381140665,590.5255910000051,671.7572781344713,127.40676930985776,72.63976380477467,31375.901373963963,178.73724185105004,93.41058056882036,94.37203628255935,209.3989917329062,5445.233892156424
Gene_0003,75.33119890597195,95785.30260578054,28976.78521582381,28.197878284258653,2009.961843865122,231.08653601406328,222.1677454981457,8033.782233829053,348.3201075364473,514.5600115493744,148.38888476411313,2900.6707271580954
Gene_0004,747.7610861303796,357.6163177421357,15080.875099557554,4856.18228077896,36.48209374189656,5414.198826303126,1759.821131781385,2083.304526851684,44514.42292184722,322.4273697577842,7684.238496853318,180.12725049302304
Gene_0005,18.415104832951727,1864.8281905739618,4750.856134620572,27.67790456974179,2391.134483947427,1162.2906278390833,186.509766703939,11803.338044951286,339.2949597140238,2218.527512782605,92.13363355352757,960.7781042006416
Gene_0006,112.35843925721751,2489.1909986691912,14.152618464768704,184.1153321281781,63.372861936786656,146.02202109947132,147.4174642561315,432.8106978387984,228.30770858827188,230.60731956075483,4925.660915698456,111.79760899036357
Gene_0007,17401.623445520127,18817.617905131716,598.6778252426479,684.2022792823273,348.53215578192487,5.859556242921456,285.563172725986,28014.048284793367,1558.2232508582047,59.50899448970207,1.9407600942448828,85.84112581732455
Gene_0008,2553.0510139793596,247.56919158741184,24876.152253351498,633.5035459571595,761.0861100382708,3232.13517618166,5309.61725788435,398.4987665613056,168.1088625276569,129.55097018984975,757.6639258284046,510.06153226137957
Gene_0009,143463.78160162596,216.0052380563,916.7978877705967,2369.3212614245913,129.76885236274424,306.7607359370039,3956.3742267423477,440.16805876328044,1646.3542178556163,106.25546657943195,2499.3194774321037,2195.902224609798
Gene_0010,134.01003508272308,146.82903833928012,39.57612296550806,284.5927005888602,10516.7344460107,33381.898848509576,2236.687888086636,3672.0441184803835,5865.0380084015405,2062.9950693690844,97.13170298807354,745.0150723566738
Gene_0011,6579.499422117054,11906.795270525778,109.94471276055287,391.0768002402596,18.82588902185511,43.98512805604359,42214.11084623497,1237.598927827698,40.54767601434821,2755.0268152115505,84.58110014856639,39530.44831784831
Gene_0012,5139.981844713841,220.02085834171788,772.7677291984019,54.2519869550813,308.4681115617117,987.059893123123,1464.5657247854922,81.70013787824821,31.33158084760392,491.08399906770876,4153.739637919756,7318.939766693045
Gene_0013,6775.849840369446,4.492056163325945,169.56618675826033,1473.7271625673006,513.438327811721,178.7361312280882,150.52744408391754,1092.9840766079967,4064.8156472036926,347.05420964072295,614.4240318640758,31322.037899014897
Gene_0014,8743.52607940129,197.3815682029715,11271.536112459002,32.43371997978269,11564.168472529685,13729.996350635343,471.2666951043841,2682.169475166774,456.9394189891723,1039.106006275936,964.447877293112,416.09225622299476
Gene_0015,87.24441908827423,312.56121029381,2121.045345820273,480.2812662235303,115.03349569789907,79156.08282463967,473.9313141511131,2134.0035119524814,2544.4076702485186,680.9717655018395,249.84902540392875,1485.8729651201718
