,ESR1,PGR,GATA3,FOXA1,MKI67,PCNA,TOP2A,CCND1,MYC,BRCA2,GATA3,MAP3K1,PIK3CA,AKT1,MTOR,KRT8,KRT18,KRT19,EPCAM,KRT5,KRT14,EGFR,COL1A1,COL3A1,ACTA2,FAP,VIM,CD3D,CD8A,CD4,FOXP3,CD68,CD163,HIF1A,VEGFA,CA9
SPOT_00_00,16.0,4.0,12.0,11.0,2.0,2.0,3.0,15.0,7.0,10.0,14.0,7.0,23.0,4.0,6.0,79.0,32.0,25.0,7.0,1.0,1.0,1.0,13.0,9.0,9.0,12.0,5.0,7.0,8.0,5.0,3.0,2.0,12.0,7.0,5.0,10.0
SPOT_00_01,15.0,4.0,9.0,3.0,12.0,4.0,16.0,3.0,6.0,6.0,35.0,11.0,7.0,2.0,6.0,9.0,11.0,52.0,9.0,1.0,2.0,1.0,14.0,3.0,6.0,9.0,6.0,7.0,4.0,3.0,1.0,13.0,8.0,15.0,9.0,4.0
SPOT_00_02,49.0,7.0,15.0,19.0,10.0,11.0,8.0,14.0,8.0,9.0,14.0,3.0,19.0,0.0,3.0,11.0,7.0,13.0,3.0,0.0,0.0,1.0,5.0,19.0,5.0,15.0,14.0,7.0,8.0,5.0,4.0,9.0,6.0,1.0,7.0,10.0
SPOT_00_03,34.0,31.0,25.0,14.0,14.0,2.0,3.0,3.0,7.0,8.0,13.0,4.0,4.0,5.0,15.0,15.0,35.0,17.0,26.0,1.0,0.0,0.0,29.0,6.0,8.0,4.0,9.0,7.0,4.0,4.0,2.0,4.0,2.0,12.0,9.0,1.0
SPOT_00_04,32.0,2.0,30.0,15.0,8.0,2.0,4.0,33.0,10.0,5.0,11.0,5.0,10.0,6.0,12.0,17.0,9.0,7.0,26.0,1.0,1.0,1.0,8.0,7.0,6.0,8.0,13.0,3.0,19.0,1.0,3.0,3.0,3.0,2.0,19.0,4.0
SPOT_00_05,11.0,13.0,8.0,5.0,14.0,11.0,3.0,3.0,28.0,4.0,8.0,4.0,7.0,13.0,6.0,22.0,53.0,5.0,5.0,0.0,1.0,0.0,5.0,7.0,4.0,7.0,8.0,11.0,7.0,7.0,1.0,2.0,9.0,6.0,6.0,3.0
SPOT_00_06,6.0,13.0,19.0,3.0,19.0,5.0,3.0,3.0,16.0,4.0,8.0,6.0,9.0,9.0,10.0,10.0,17.0,32.0,18.0,0.0,2.0,1.0,7.0,9.0,4.0,15.0,6.0,7.0,1.0,4.0,3.0,11.0,12.0,13.0,6.0,2.0
SPOT_00_07,11.0,13.0,61.0,11.0,4.0,12.0,4.0,11.0,6.0,6.0,29.0,10.0,22.0,3.0,5.0,38.0,16.0,23.0,45.0,1.0,0.0,0.0,16.0,5.0,4.0,2.0,23.0,9.0,2.0,7.0,3.0,5.0,3.0,8.0,5.0,3.0
SPOT_00_08,8.0,20.0,12.0,5.0,5.0,8.0,8.0,2.0,3.0,10.0,18.0,7.0,4.0,7.0,16.0,31.0,13.0,10.0,12.0,0.0,1.0,1.0,10.0,34.0,14.0,1.0,6.0,3.0,4.0,5.0,4.0,10.0,9.0,10.0,6.0,3.0
SPOT_00_09,35.0,8.0,11.0,9.0,21.0,10.0,13.0,9.0,21.0,16.0,28.0,5.0,17.0,3.0,5.0,13.0,27.0,14.0,27.0,1.0,0.0,1.0,14.0,13.0,7.0,11.0,3.0,4.0,10.0,2.0,12.0,2.0,3.0,14.0,3.0,18.0
SPOT_00_10,17.0,5.0,13.0,3.0,9.0,2.0,3.0,8.0,7.0,7.0,12.0,4.0,10.0,6.0,3.0,63.0,40.0,6.0,51.0,0.0,0.0,0.0,19.0,3.0,6.0,4.0,7.0,21.0,6.0,2.0,4.0,11.0,3.0,2.0,5.0,3.0
SPOT_00_11,31.0,24.0,31.0,25.0,5.0,2.0,8.0,11.0,8.0,13.0,8.0,11.0,4.0,8.0,6.0,16.0,25.0,34.0,18.0,0.0,0.0,1.0,7.0,13.0,2.0,10.0,12.0,2.0,2.0,4.0,2.0,6.0,5.0,14.0,6.0,16.0
SPOT_00_12,65.0,8.0,27.0,33.0,4.0,3.0,5.0,7.0,3.0,3.0,17.0,2.0,5.0,13.0,19.0,15.0,9.0,10.0,16.0,0.0,0.0,2.0,9.0,6.0,2.0,5.0,18.0,1.0,4.0,3.0,1.0,3.0,1.0,14.0,21.0,3.0
SPOT_00_13,8.0,14.0,28.0,5.0,1.0,5.0,5.0,13.0,10.0,4.0,9.0,4.0,8.0,6.0,3.0,19.0,10.0,29.0,24.0,1.0,0.0,2.0,7.0,23.0,8.0,8.0,4.0,3.0,8.0,7.0,3.0,8.0,6.0,10.0,13.0,2.0
SPOT_00_14,4.0,30.0,30.0,32.0,16.0,18.0,2.0,13.0,15.0,17.0,7.0,4.0,7.0,2.0,7.0,15.0,15.0,39.0,15.0,1.0,0.0,2.0,20.0,16.0,10.0,2.0,5.0,12.0,3.0,26.0,3.0,8.0,8.0,5.0,7.0,10.0
SPOT_00_15,3.0,12.0,33.0,13.0,5.0,2.0,7.0,11.0,21.0,2.0,44.0,4.0,24.0,6.0,9.0,32.0,9.0,27.0,7.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,25.0,4.0,2.0,10.0,1.0,5.0,8.0,4.0,20.0,22.0
SPOT_00_16,31.0,25.0,27.0,24.0,16.0,28.0,10.0,3.0,9.0,4.0,8.0,2.0,3.0,29.0,16.0,15.0,37.0,13.0,26.0,0.0,0.0,2.0,11.0,8.0,10.0,8.0,19.0,9.0,3.0,5.0,4.0,6.0,11.0,4.0,4.0,1.0
SPOT_00_17,13.0,19.0,10.0,16.0,45.0,15.0,3.0,12.0,2.0,4.0,19.0,9.0,10.0,6.0,5.0,17.0,34.0,11.0,5.0,0.0,0.0,1.0,21.0,7.0,12.0,10.0,10.0,3.0,13.0,5.0,1.0,5.0,3.0,8.0,21.0,12.0
SPOT_00_18,20.0,28.0,47.0,13.0,3.0,25.0,4.0,16.0,5.0,9.0,11.0,4.0,3.0,9.0,1.0,14.0,9.0,12.0,27.0,0.0,0.0,0.0,4.0,10.0,11.0,3.0,12.0,6.0,13.0,3.0,4.0,3.0,3.0,38.0,25.0,15.0
SPOT_00_19,9.0,26.0,14.0,10.0,8.0,4.0,2.0,17.0,8.0,12.0,9.0,2.0,25.0,0.0,7.0,74.0,27.0,42.0,28.0,1.0,1.0,1.0,2.0,1.0,16.0,8.0,23.0,3.0,4.0,6.0,3.0,18.0,5.0,8.0,12.0,2.0
SPOT_00_20,11.0,4.0,39.0,9.0,12.0,1.0,8.0,9.0,10.0,6.0,11.0,4.0,15.0,10.0,8.0,30.0,79.0,6.0,30.0,0.0,1.0,0.0,8.0,4.0,6.0,6.0,15.0,16.0,4.0,8.0,6.0,4.0,3.0,2.0,6.0,4.0
SPOT_00_21,8.0,27.0,14.0,9.0,6.0,4.0,1.0,13.0,6.0,13.0,41.0,1.0,28.0,7.0,4.0,6.0,8.0,7.0,21.0,1.0,1.0,1.0,19.0,15.0,4.0,4.0,8.0,7.0,2.0,10.0,4.0,10.0,8.0,12.0,9.0,4.0
SPOT_00_22,13.0,8.0,16.0,17.0,4.0,13.0,2.0,19.0,8.0,4.0,5.0,10.0,6.0,7.0,8.0,28.0,23.0,7.0,15.0,3.0,0.0,3.0,4.0,7.0,16.0,13.0,12.0,9.0,2.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0
SPOT_00_23,11.0,15.0,17.0,4.0,7.0,16.0,1.0,8.0,1.0,12.0,16.0,8.0,2.0,11.0,4.0,4.0,6.0,9.0,6.0,1.0,1.0,1.0,18.0,6.0,4.0,9.0,20.0,2.0,7.0,1.0,2.0,8.0,5.0,3.0,8.0,9.0
SPOT_00_24,16.0,8.0,31.0,11.0,13.0,18.0,0.0,20.0,1.0,3.0,24.0,4.0,10.0,6.0,21.0,10.0,30.0,13.0,13.0,0.0,1.0,0.0,17.0,15.0,7.0,13.0,2.0,1.0,3.0,5.0,1.0,8.0,3.0,7.0,9.0,13.0
